Price,Close,High,Low,Open,Volume
Ticker,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK
Date,,,,,
2019-01-01,4469.3583984375,4469.3583984375,4469.3583984375,4469.3583984375,0
2019-01-02,4503.73779296875,4508.0352526948645,4469.358115159828,4469.358115159828,35956000
2019-01-03,4452.1689453125,4486.548628287886,4396.301960477497,4469.358786800193,72358000
2019-01-04,4473.65673828125,4473.65673828125,4404.89736478221,4447.87197321911,51465000
2019-01-07,4508.03564453125,4576.795006125625,4508.03564453125,4525.225484929844,73438000
2019-01-08,4503.73779296875,4572.4971485865935,4473.655574885943,4495.142873516519,66247500
2019-01-09,4516.630859375,4572.497844314938,4490.846097095028,4555.308002794957,84871000
2019-01-10,4516.630859375,4555.308002794957,4460.763874435062,4555.308002794957,114314500
2019-01-11,4512.3330078125,4555.307607886904,4499.440627790179,4538.117767857143,84826500
2019-01-14,4469.3583984375,4499.440618426984,4426.383798452524,4486.548238431491,87547500
2019-01-15,4520.92822265625,4520.92822265625,4460.763778628505,4495.143460930073,87763000
2019-01-16,4542.4140625,4542.4140625,4508.034391260643,4520.926767975402,94972500
2019-01-17,4581.09228515625,4581.09228515625,4542.415145788139,4546.712605717929,91654000
2019-01-18,4662.74365234375,4662.74365234375,4568.199541420651,4589.686839357719,100873500
2019-01-21,4765.8828125,4813.154869251578,4632.661561654644,4662.743779587467,87118000
2019-01-22,4813.15576171875,4830.345603724889,4684.231946672712,4813.15576171875,91907000
2019-01-23,4727.20556640625,4813.154758522727,4705.718268377131,4813.154758522727,98512500
2019-01-24,4692.82666015625,4714.313961713742,4602.579993614783,4667.04189828726,106781000
2019-01-25,4727.20556640625,4744.395404829545,4641.256374289773,4641.256374289773,68944000
2019-01-28,4722.908203125,4740.098041898886,4705.718364351114,4740.098041898886,69704000
2019-01-29,4761.58544921875,4770.180368802177,4675.636253384477,4679.93371317619,77679000
2019-01-30,4744.39501953125,4778.774693585824,4722.907723247141,4778.774693585824,76285000
2019-01-31,4843.23779296875,4847.535253299689,4744.396205357143,4744.396205357143,135904500
2019-02-01,4843.23779296875,4942.079380580357,4778.775888004659,4881.914935947205,57719500
2019-02-04,4727.20556640625,4843.236975763494,4727.20556640625,4843.236975763494,113846500
2019-02-05,4727.20556640625,4727.20556640625,4727.20556640625,4727.20556640625,0
2019-02-06,4757.2890625,4761.586523261066,4722.909376411472,4727.206837172538,121996500
2019-02-07,4752.99072265625,4757.288182622486,4731.503422825073,4757.288182622486,63697500
2019-02-08,4744.39501953125,4757.287397301716,4727.205182503963,4752.989938044893,65268500
2019-02-11,4722.908203125,4752.990420979299,4692.825985270701,4744.395501592357,37639000
2019-02-12,4692.82666015625,4752.9911045172275,4684.231739533253,4752.9911045172275,95883500
2019-02-13,4658.44775390625,4718.612208292493,4649.852831851073,4692.827442126961,103115500
2019-02-14,4624.06640625,4645.553703676813,4624.06640625,4645.553703676813,108738500
2019-02-15,4606.87646484375,4649.851058732218,4585.389167899516,4606.87646484375,81340000
2019-02-18,4710.0166015625,4727.206443174042,4649.8521559221035,4649.8521559221035,62991000
2019-02-19,4624.06640625,4710.015595957249,4624.06640625,4658.446082132899,64469000
2019-02-20,4727.20556640625,4808.857298916903,4675.636051136364,4684.230970348011,89583000
2019-02-21,4731.50341796875,4778.775477548819,4701.421198235979,4761.585637701522,54561500
2019-02-22,4718.611328125,4748.693549706853,4692.826566769126,4705.718947447063,48271500
2019-02-25,4718.611328125,4727.206248576958,4688.529106543147,4718.611328125,47887000
2019-02-26,4774.47802734375,4774.47802734375,4722.908507696473,4727.20596766708,98446000
2019-02-27,4783.07373046875,4787.3711911430255,4765.883887771648,4783.07373046875,78519500
2019-02-28,4740.0986328125,4795.965615792157,4735.801172583296,4787.370695333749,99366000
2019-03-01,4761.58544921875,4813.154966719314,4757.287989427036,4783.072748177318,72589500
2019-03-04,4757.2890625,4761.586523261066,4740.099219455736,4744.3966802168015,63910500
2019-03-05,4722.908203125,4731.503122511943,4675.636146496816,4727.205662818472,46499500
2019-03-06,4718.611328125,4774.478311062728,4718.611328125,4774.478311062728,37777000
2019-03-07,4718.611328125,4718.611328125,4718.611328125,4718.611328125,0
2019-03-08,4675.6357421875,4787.369684555952,4675.6357421875,4765.882387946634,61126000
2019-03-11,4731.50341796875,4752.990717777872,4692.82627831233,4752.990717777872,32469000
2019-03-12,4727.20556640625,4761.585243252841,4684.230970348011,4761.585243252841,40178500
2019-03-13,4727.20556640625,4731.503026012074,4684.230970348011,4684.230970348011,17722000
